Resumo										
										
										
Número	Seção				Custo total	Porcentagem do total	Material	Mão de obra		Economia possível
										
1	Serviços iniciais				R$ 3,695.54	5.48%	R$ 2,040.30	R$ 1,655.24		R$ 1,665.54
2	Terraplanagem				R$ 262.50	0.39%	R$ 0.00	R$ 262.50		
3	Fundações				R$ 12,607.56	18.68%	R$ 6,515.20	R$ 6,092.36		R$ 10,086.05
4	Estrutura de concreto				R$ 5,106.57	7.57%	R$ 3,663.45	R$ 1,443.13		R$ 5,106.57
5	Alvenaria				R$ 8,931.37	13.23%	R$ 5,491.99	R$ 3,439.37		R$ 3,171.97
6	Coberturas e impermeabilização				R$ 3,885.70	5.76%	R$ 2,377.43	R$ 1,508.27		
7	Pisos e rodapés				R$ 2,979.95	4.42%	R$ 1,259.50	R$ 1,720.45		
8	Portas e janelas				R$ 8,078.61	11.97%	R$ 6,726.84	R$ 1,351.77		R$ 704.44
9	Revestimentos e pinturas				R$ 7,183.67	10.64%	R$ 2,388.96	R$ 4,794.70		R$ 5,131.27
10	Instalações hidrossanitárias				R$ 5,731.73	8.49%	R$ 3,294.38	R$ 2,437.34		R$ 2,906.32
11	Instalações elétricas				R$ 8,397.26	12.44%	R$ 3,146.37	R$ 5,250.89		
12	Serviços complementares				R$ 630.00	0.93%	R$ 0.00	R$ 630.00		R$ 630.00
										
	Total				R$ 67,490.45	100.00%	R$ 36,904.43	R$ 30,586.02		R$ 38,088.29
										R$/m² 761.77
	Custo por metro quadrado				R$/m² 1,349.81					
										R$ 53,985.35
13	Imprevistos				R$ 10,123.57	15.00%				R$/m² 1,079.71
14	BDI (despesas indiretas + lucro da construtora)				R$ 20,247.14	30.00%				
										
	Total construtora				R$ 97,861.16					
										
15	Acréscimos possíveis: aquecedor solar, reuso de água				R$ 2,326.15					
										
	Terreno				R$ 70,000.00	preço por m²:	R$ 1,400.00			
										
										
Discriminação										
										
										
Número	Seção	Item	Unidade	Quantidade	Custo unitário material	Custo unitário mão de obra	Custo unitário	Custo total material	Custo total mão de obra	Custo total
										
1	Serviços iniciais									
										
1.1		Limpeza do terreno com retirada da vegetação quando necessário	m²	70.00	R$ 0.00	R$ 9.00	R$ 9.00	R$ 0.00	R$ 630.00	R$ 630.00
1.2		Locações de material de obra (betoneira)	mes	6.00	R$ 150.00	R$ 0.00	R$ 150.00	R$ 900.00	R$ 0.00	R$ 900.00
1.3		Locações de material de obra (diversos)	mes	2.00	R$ 250.00	R$ 0.00	R$ 250.00	R$ 500.00	R$ 0.00	R$ 500.00
1.4		Ligações provisórias as redes elétrica e telefonia (incluido em item 11.1)	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
1.5		Ligações provisórias as redes de água e esgoto (incluido em item 10.8)	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
1.6		Tapumes em chapa compensada 6mm	m²	38.00	R$ 16.85	R$ 26.98	R$ 43.83	R$ 640.30	R$ 1,025.24	R$ 1,665.54
1.7		Canteiro e demais instalações de obra	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
1.8		Encargos adicionais diversos	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
										
	Total							R$ 2,040.30	R$ 1,655.24	R$ 3,695.54
										
2	Terraplanagem									
										
2.1		Limpeza do terreno e remoção da camada vegetal (incluído em item 1.1)	m²	0.00	R$ 0.00	R$ 3.75	R$ 3.75	R$ 0.00	R$ 0.00	R$ 0.00
2.2		Escavação mecânica ou manual de terra	m³	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
2,3		Aterro	m³	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
2.4		Compactação de terreno	m²	70.00	R$ 0.00	R$ 3.75	R$ 3.75	R$ 0.00	R$ 262.50	R$ 262.50
										
	Total							R$ 0.00	R$ 262.50	R$ 262.50
										
3	Fundações									
										
3.1		Escavação mecânica ou manual de terra e preparo do fundo dos fossos	m³	13.73	R$ 0.00	R$ 45.01	R$ 45.01	R$ 618.21	R$ 618.21	R$ 1,236.41
3.2		Lastro de concreto magro de 5cm de espessura	m³	1.35	R$ 176.75	R$ 127.00	R$ 303.75	R$ 238.88	R$ 171.64	R$ 410.52
3.3		Forma de madeira	m²	46.80	R$ 8.53	R$ 40.65	R$ 49.18	R$ 399.24	R$ 1,902.58	R$ 2,301.82
3.4		Armaduras de aço CA-50 conforme projeto, com corte, dobra e montagem 40Kg/m³	kg	219.76	R$ 3.70	R$ 2.74	R$ 6.44	R$ 813.10	R$ 602.14	R$ 1,415.24
3.5		Concreto estrutural conforme projeto	m³	5.49	R$ 272.41	R$ 110.36	R$ 382.77	R$ 1,496.60	R$ 606.31	R$ 2,102.92
3.6		Alvenaria de embasamento	m³	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
3.7		Impermeabilização	m²	60.32	R$ 26.86	R$ 32.51	R$ 59.37	R$ 1,620.17	R$ 1,960.98	R$ 3,581.15
3.8		Estacas de concreto armado	m	30.00	R$ 44.30	R$ 1.50	R$ 45.80	R$ 1,329.00	R$ 45.00	R$ 1,374.00
3.9		Reaterro	m³	8.24	R$ 0.00	R$ 22.51	R$ 22.51	R$ 0.00	R$ 185.50	R$ 185.50
										
	Total							R$ 6,515.20	R$ 6,092.36	R$ 12,607.56
										
4	Estrutura de concreto									
										
4.1		Fôrma para estrutura de concreto em chapa de madeira compensada plastificada, incluindo cimbramento e suporte	m²	0.00	R$ 8.53	R$ 40.65	R$ 49.18	R$ 0.00	R$ 0.00	R$ 0.00
4.2		Armaduras de aço conforme projeto, com corte, dobra e montagem CA-50 100Kg/m³	kg	0.00	R$ 3.70	R$ 2.74	R$ 6.44	R$ 0.00	R$ 0.00	R$ 0.00
4.3		Concreto estrutural conforme projeto	m³	0.00	R$ 272.41	R$ 110.36	R$ 382.77	R$ 0.00	R$ 0.00	R$ 0.00
4.4		Vigas metálicas	kg	73.10	R$ 16.38	R$ 0.00	R$ 16.38	R$ 1,197.45	R$ 0.00	R$ 1,197.45
4.5		Lajes pré-fabricadas conforme projeto, incluindo capeamento	m²	45.14	R$ 54.63	R$ 31.97	R$ 86.60	R$ 2,466.00	R$ 1,443.13	R$ 3,909.12
										
	Total							R$ 3,663.45	R$ 1,443.13	R$ 5,106.57
										
5	Alvenaria									
										
5.1		Alvenaria estrutural em blocos de concreto de 14x19x39cm com juntas de argamassa industrializada de 1cm	m²	97.30	R$ 38.64	R$ 26.79	R$ 65.43	R$ 3,759.77	R$ 2,606.73	R$ 6,366.50
5.2		Alvenaria não-estrutural em tijolos cerâmicos furados de 14x19x19cm com juntas de argamassa de cimento e areia de 1cm	m²	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
5.3		Parede de blocos de gesso 7cm	m²	22.38	R$ 23.04	R$ 9.87	R$ 32.91	R$ 515.48	R$ 220.92	R$ 736.39
5.4		Alvenaria de cobogós cerámicos de 40x40cm com juntas de argamassa de cimento e areia de 1cm	m²	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
